user_id,user_profile,room_type,season,day_type,booking_advance_days,stay_duration_nights,group_size,user_rating,was_booked,view_time_seconds,compatibility_score
581,business_traveler,Standard Room,fall,weekend,30,3,8,2,1,143,0.277
367,solo_traveler,Executive Suite,winter,weekday,1,2,6,3,1,238,0.422
926,business_traveler,Deluxe Room,spring,weekend,7,3,6,3,1,179,0.399
512,solo_traveler,Deluxe Room,summer,weekday,60,4,4,2,0,155,0.207
318,couple_romantic,Presidential Suite,summer,weekend,30,3,6,4,1,301,0.836
672,family_vacation,Family Suite,winter,weekday,60,4,8,3,0,282,0.534
565,family_vacation,Presidential Suite,winter,weekday,30,1,7,4,1,168,0.754
728,business_traveler,Executive Suite,spring,weekday,60,4,5,3,0,314,0.534
192,solo_traveler,Junior Suite,summer,weekend,14,6,4,3,0,223,0.555
613,budget_conscious,Standard Room,winter,weekend,30,1,5,3,0,208,0.426
508,solo_traveler,Presidential Suite,summer,weekday,30,4,6,4,0,106,0.627
108,couple_romantic,Business Room,fall,weekday,30,7,4,2,1,183,0.333
405,group_friends,Presidential Suite,fall,weekend,7,3,1,3,0,293,0.455
327,solo_traveler,Presidential Suite,spring,weekday,7,1,1,2,0,64,0.288
839,budget_conscious,Business Room,spring,weekday,30,2,6,3,0,245,0.387
557,solo_traveler,Executive Suite,fall,weekday,7,5,5,3,0,203,0.486
542,luxury_seeker,Business Room,spring,weekend,30,4,5,3,0,327,0.387
198,couple_romantic,Standard Room,winter,weekday,14,1,8,2,0,290,0.163
492,luxury_seeker,Deluxe Room,winter,weekend,3,3,5,2,1,95,0.304
135,solo_traveler,Standard Room,summer,weekend,1,7,2,2,0,159,0.317
993,solo_traveler,Junior Suite,spring,weekday,7,6,3,2,0,63,0.349
734,family_vacation,Family Suite,summer,weekend,14,5,8,4,1,184,0.731
357,business_traveler,Standard Room,summer,weekend,7,4,1,3,0,54,0.4
490,group_friends,Standard Room,spring,weekend,14,4,2,2,0,61,0.333
84,budget_conscious,Executive Suite,spring,weekday,1,6,3,2,0,242,0.248
252,business_traveler,Family Suite,winter,weekend,1,7,2,2,0,283,0.248
866,solo_traveler,Business Room,winter,weekend,60,5,4,2,0,311,0.348
195,couple_romantic,Deluxe Room,winter,weekend,3,2,4,3,0,62,0.488
252,family_vacation,Executive Suite,summer,weekday,60,6,7,3,0,311,0.522
750,luxury_seeker,Family Suite,spring,weekend,3,5,4,3,1,125,0.454
944,group_friends,Junior Suite,summer,weekend,90,6,3,3,1,95,0.532
460,luxury_seeker,Business Room,winter,weekday,3,7,2,2,0,185,0.244
879,business_traveler,Family Suite,spring,weekday,1,2,5,3,1,325,0.52
537,budget_conscious,Executive Suite,spring,weekend,1,7,7,3,0,195,0.389
228,budget_conscious,Junior Suite,winter,weekday,30,1,1,2,0,49,0.362
741,business_traveler,Executive Suite,spring,weekday,14,5,4,3,1,146,0.571
535,family_vacation,Presidential Suite,summer,weekend,30,6,1,3,1,143,0.62
247,budget_conscious,Business Room,spring,weekday,1,3,7,2,0,39,0.249
785,solo_traveler,Presidential Suite,fall,weekend,3,3,4,3,0,303,0.451
766,business_traveler,Executive Suite,winter,weekend,7,6,4,3,0,105,0.4
565,luxury_seeker,Executive Suite,winter,weekday,3,3,8,3,1,267,0.555
707,solo_traveler,Deluxe Room,fall,weekend,1,5,5,2,0,118,0.329
151,business_traveler,Family Suite,fall,weekend,60,6,5,2,0,82,0.309
242,family_vacation,Executive Suite,fall,weekend,1,6,6,3,0,116,0.583
640,couple_romantic,Executive Suite,winter,weekend,60,7,5,3,0,50,0.581
877,group_friends,Presidential Suite,fall,weekday,30,4,1,3,0,249,0.592
615,solo_traveler,Standard Room,winter,weekday,30,6,5,3,1,51,0.398
648,budget_conscious,Family Suite,spring,weekday,30,1,8,3,0,322,0.52
158,solo_traveler,Standard Room,spring,weekend,3,4,7,3,1,293,0.411
555,budget_conscious,Family Suite,winter,weekend,90,7,4,3,1,279,0.389
779,budget_conscious,Family Suite,fall,weekday,30,6,5,3,1,216,0.443
13,couple_romantic,Standard Room,summer,weekend,1,4,3,3,0,39,0.391
151,couple_romantic,Junior Suite,winter,weekday,1,5,1,2,0,106,0.237
289,couple_romantic,Presidential Suite,fall,weekday,60,7,7,3,1,75,0.542
89,business_traveler,Deluxe Room,spring,weekday,14,6,2,2,0,285,0.36
78,family_vacation,Standard Room,fall,weekend,90,1,5,2,1,128,0.242
708,group_friends,Business Room,spring,weekend,14,7,4,2,1,60,0.336
600,budget_conscious,Business Room,fall,weekday,1,5,1,3,0,34,0.381
225,business_traveler,Junior Suite,fall,weekend,3,3,6,3,1,328,0.405
329,group_friends,Standard Room,winter,weekday,14,4,2,2,0,258,0.313
600,group_friends,Junior Suite,winter,weekend,3,4,7,3,0,214,0.428
919,family_vacation,Standard Room,spring,weekday,30,5,7,2,0,152,0.335
242,group_friends,Business Room,winter,weekend,7,5,4,2,1,290,0.288
396,luxury_seeker,Executive Suite,fall,weekday,7,7,8,4,0,121,0.636
225,budget_conscious,Business Room,winter,weekend,1,4,3,2,1,52,0.364
11,solo_traveler,Presidential Suite,winter,weekday,60,2,4,3,0,267,0.502
361,solo_traveler,Business Room,summer,weekday,30,6,6,2,0,294,0.372
432,luxury_seeker,Junior Suite,winter,weekend,7,6,8,3,1,163,0.485
813,couple_romantic,Executive Suite,winter,weekend,7,1,7,3,1,246,0.569
925,budget_conscious,Junior Suite,fall,weekday,60,4,6,3,1,208,0.468
852,group_friends,Standard Room,winter,weekday,60,1,2,2,1,103,0.219
638,family_vacation,Deluxe Room,spring,weekend,3,5,4,3,0,36,0.399
205,budget_conscious,Executive Suite,winter,weekday,1,4,5,3,0,306,0.447
868,family_vacation,Presidential Suite,spring,weekday,7,7,3,3,1,292,0.386
487,family_vacation,Family Suite,spring,weekday,90,3,2,3,1,273,0.54
138,budget_conscious,Standard Room,winter,weekend,60,3,2,2,0,56,0.288
889,solo_traveler,Deluxe Room,fall,weekday,1,6,7,2,0,99,0.195
679,family_vacation,Presidential Suite,summer,weekday,1,7,7,4,0,164,0.731
308,couple_romantic,Family Suite,fall,weekday,3,6,2,2,0,84,0.357
568,luxury_seeker,Standard Room,winter,weekday,1,4,7,3,0,192,0.383
675,luxury_seeker,Family Suite,fall,weekend,1,6,8,3,1,218,0.525
329,solo_traveler,Standard Room,winter,weekend,30,2,4,2,1,121,0.363
327,family_vacation,Junior Suite,summer,weekend,7,2,1,3,0,298,0.478
567,couple_romantic,Business Room,spring,weekday,90,3,1,2,0,176,0.329
311,luxury_seeker,Junior Suite,fall,weekday,1,6,6,3,1,58,0.446
879,couple_romantic,Family Suite,winter,weekend,1,6,2,3,0,39,0.467
428,group_friends,Standard Room,summer,weekday,1,5,5,2,0,226,0.346
351,family_vacation,Family Suite,fall,weekday,7,5,4,3,1,115,0.468
500,business_traveler,Deluxe Room,spring,weekend,60,2,3,3,0,320,0.403
955,solo_traveler,Junior Suite,fall,weekend,14,1,3,2,0,214,0.244
176,family_vacation,Business Room,summer,weekday,14,3,7,2,0,256,0.282
651,solo_traveler,Standard Room,fall,weekend,90,7,6,2,1,263,0.346
958,solo_traveler,Presidential Suite,summer,weekday,60,1,4,3,1,147,0.508
626,family_vacation,Presidential Suite,winter,weekend,7,4,3,3,0,206,0.537
275,budget_conscious,Business Room,winter,weekday,90,3,1,3,1,85,0.403
167,budget_conscious,Standard Room,summer,weekday,90,5,1,3,1,275,0.388
638,business_traveler,Family Suite,summer,weekday,90,1,4,4,0,194,0.665
535,couple_romantic,Business Room,fall,weekday,90,3,6,2,0,225,0.174
805,budget_conscious,Executive Suite,fall,weekday,3,3,1,2,1,247,0.37
218,group_friends,Junior Suite,summer,weekend,30,3,2,3,1,87,0.556
356,business_traveler,Business Room,summer,weekend,14,5,5,3,0,154,0.448
91,group_friends,Business Room,spring,weekday,90,3,6,2,0,304,0.244
84,solo_traveler,Family Suite,summer,weekend,60,6,4,3,1,118,0.488
661,budget_conscious,Executive Suite,winter,weekend,30,3,5,3,1,96,0.397
61,luxury_seeker,Deluxe Room,spring,weekend,30,7,5,2,0,185,0.287
224,family_vacation,Deluxe Room,winter,weekday,60,1,4,3,0,99,0.422
520,group_friends,Presidential Suite,winter,weekday,3,6,8,3,0,118,0.605
43,group_friends,Junior Suite,summer,weekday,1,6,2,3,0,155,0.51
728,business_traveler,Presidential Suite,spring,weekday,30,6,7,4,0,101,0.711
965,luxury_seeker,Family Suite,fall,weekend,30,1,8,3,0,71,0.433
605,luxury_seeker,Business Room,summer,weekday,7,6,1,2,1,31,0.289
318,business_traveler,Family Suite,spring,weekday,90,5,2,2,0,71,0.349
870,luxury_seeker,Deluxe Room,spring,weekday,7,6,1,2,0,121,0.289
112,luxury_seeker,Presidential Suite,summer,weekday,3,4,6,4,0,254,0.626
566,luxury_seeker,Business Room,winter,weekday,30,4,8,2,1,48,0.327
805,luxury_seeker,Presidential Suite,fall,weekday,1,3,5,3,1,251,0.557
320,business_traveler,Standard Room,summer,weekend,30,4,6,3,0,279,0.379
76,family_vacation,Business Room,fall,weekday,7,1,1,2,1,122,0.36
331,business_traveler,Deluxe Room,fall,weekday,30,3,5,3,1,100,0.399
444,group_friends,Junior Suite,summer,weekday,14,6,7,3,1,199,0.596
188,luxury_seeker,Executive Suite,summer,weekend,30,6,2,3,0,87,0.588
730,family_vacation,Executive Suite,summer,weekend,14,1,1,3,0,106,0.543
438,solo_traveler,Business Room,spring,weekday,30,1,2,2,1,203,0.347
866,solo_traveler,Presidential Suite,spring,weekday,3,6,3,2,0,180,0.295
96,luxury_seeker,Deluxe Room,fall,weekend,7,4,4,2,0,195,0.369
800,business_traveler,Presidential Suite,spring,weekend,3,1,6,3,0,240,0.584
211,family_vacation,Executive Suite,winter,weekend,14,2,5,3,0,225,0.585
566,couple_romantic,Standard Room,fall,weekend,90,1,4,3,0,298,0.395
895,business_traveler,Deluxe Room,fall,weekday,90,5,4,3,0,156,0.537
584,budget_conscious,Presidential Suite,spring,weekday,1,6,6,3,1,136,0.511
864,couple_romantic,Family Suite,summer,weekend,30,5,7,3,1,258,0.549
151,family_vacation,Executive Suite,summer,weekend,30,1,8,4,0,201,0.677
781,luxury_seeker,Executive Suite,spring,weekend,90,2,8,3,1,126,0.559
915,business_traveler,Standard Room,summer,weekend,1,3,8,2,0,312,0.32
712,family_vacation,Standard Room,winter,weekday,90,4,8,2,1,30,0.232
765,couple_romantic,Presidential Suite,summer,weekday,1,6,2,3,0,142,0.548
831,budget_conscious,Executive Suite,winter,weekend,30,3,7,3,0,243,0.495
75,solo_traveler,Executive Suite,fall,weekend,7,6,1,2,0,136,0.209
769,budget_conscious,Deluxe Room,fall,weekend,60,5,2,2,1,147,0.265
102,business_traveler,Standard Room,fall,weekend,7,7,7,2,0,173,0.359
426,group_friends,Junior Suite,winter,weekday,14,7,8,3,0,75,0.398
764,group_friends,Business Room,summer,weekday,14,7,6,2,1,60,0.247
756,group_friends,Standard Room,winter,weekend,60,6,1,3,0,125,0.377
96,couple_romantic,Business Room,fall,weekend,60,4,2,2,0,211,0.369
571,budget_conscious,Family Suite,spring,weekend,90,5,7,3,0,181,0.407
342,business_traveler,Executive Suite,winter,weekday,14,1,8,3,1,323,0.496
750,luxury_seeker,Business Room,summer,weekday,3,6,2,2,0,45,0.342
546,solo_traveler,Family Suite,fall,weekday,90,6,8,2,0,329,0.274
644,business_traveler,Family Suite,winter,weekend,1,4,7,3,1,121,0.427
526,business_traveler,Junior Suite,winter,weekday,3,5,2,2,0,45,0.362
348,couple_romantic,Standard Room,fall,weekend,1,3,6,3,0,274,0.387
17,luxury_seeker,Junior Suite,spring,weekend,7,3,1,3,1,109,0.415
711,luxury_seeker,Family Suite,summer,weekend,30,3,8,3,0,33,0.591
531,business_traveler,Family Suite,winter,weekend,60,5,2,2,1,205,0.369
465,group_friends,Business Room,spring,weekday,30,2,4,2,1,59,0.28
395,budget_conscious,Presidential Suite,fall,weekday,7,4,3,2,0,110,0.315
615,business_traveler,Business Room,summer,weekday,90,7,8,3,1,223,0.57
300,business_traveler,Deluxe Room,summer,weekday,7,3,7,3,1,243,0.517
920,budget_conscious,Business Room,fall,weekday,3,1,1,3,1,181,0.413
453,family_vacation,Standard Room,summer,weekday,1,4,3,2,1,215,0.358
440,business_traveler,Presidential Suite,spring,weekday,14,7,2,3,0,110,0.574
214,luxury_seeker,Family Suite,fall,weekday,30,4,1,3,0,137,0.463
874,business_traveler,Standard Room,summer,weekday,90,5,5,2,1,217,0.291
383,group_friends,Presidential Suite,winter,weekday,60,3,6,4,1,72,0.731
310,family_vacation,Standard Room,fall,weekday,60,4,7,2,0,253,0.265
615,couple_romantic,Deluxe Room,spring,weekend,7,3,4,3,0,281,0.395
590,couple_romantic,Standard Room,fall,weekday,7,2,4,2,1,108,0.266
426,group_friends,Family Suite,spring,weekend,3,5,2,3,0,313,0.462
859,solo_traveler,Presidential Suite,fall,weekday,3,1,3,2,0,79,0.249
476,group_friends,Family Suite,summer,weekend,30,3,5,3,1,224,0.524
827,business_traveler,Business Room,summer,weekday,90,1,7,3,0,274,0.44
828,couple_romantic,Executive Suite,winter,weekday,3,4,4,3,1,238,0.524
180,business_traveler,Deluxe Room,winter,weekday,7,7,3,2,1,153,0.362
748,budget_conscious,Family Suite,summer,weekend,1,2,1,2,0,291,0.361
345,solo_traveler,Executive Suite,spring,weekday,90,7,2,2,0,34,0.275
43,solo_traveler,Standard Room,fall,weekday,30,6,3,2,0,322,0.311
148,family_vacation,Junior Suite,fall,weekend,60,4,2,3,0,298,0.465
244,business_traveler,Standard Room,winter,weekday,14,3,6,3,0,196,0.391
203,solo_traveler,Junior Suite,winter,weekend,7,6,2,2,0,204,0.354
458,family_vacation,Deluxe Room,fall,weekday,14,1,6,3,1,246,0.455
909,luxury_seeker,Family Suite,winter,weekend,14,1,1,3,0,160,0.436
45,luxury_seeker,Presidential Suite,spring,weekend,90,1,3,4,1,165,0.651
183,business_traveler,Presidential Suite,summer,weekday,1,6,3,3,0,38,0.506
20,family_vacation,Business Room,winter,weekday,1,1,5,2,1,301,0.315
836,couple_romantic,Standard Room,spring,weekend,3,2,3,2,0,100,0.335
8,budget_conscious,Standard Room,fall,weekend,3,3,7,2,0,180,0.367
151,couple_romantic,Standard Room,winter,weekday,30,7,6,2,0,93,0.228
904,business_traveler,Deluxe Room,winter,weekend,60,3,2,3,1,33,0.427
838,family_vacation,Presidential Suite,spring,weekend,90,5,8,4,0,201,0.659
102,luxury_seeker,Deluxe Room,fall,weekend,7,3,1,2,1,77,0.337
72,couple_romantic,Family Suite,fall,weekday,14,3,2,2,0,151,0.351
113,solo_traveler,Presidential Suite,spring,weekday,14,2,6,3,0,235,0.405
789,group_friends,Deluxe Room,spring,weekend,30,6,6,2,0,130,0.359
444,budget_conscious,Executive Suite,winter,weekday,3,3,3,3,0,285,0.41
755,business_traveler,Executive Suite,fall,weekend,90,3,5,3,0,196,0.572
533,budget_conscious,Standard Room,summer,weekday,90,5,3,2,0,101,0.284
606,budget_conscious,Business Room,fall,weekday,30,3,5,2,1,299,0.306
295,budget_conscious,Presidential Suite,summer,weekday,90,4,1,3,1,68,0.588
164,business_traveler,Presidential Suite,summer,weekday,60,5,2,4,1,156,0.727
142,group_friends,Standard Room,winter,weekend,3,1,1,3,0,85,0.436
970,budget_conscious,Junior Suite,spring,weekend,1,1,2,2,0,259,0.326
605,couple_romantic,Business Room,winter,weekday,3,5,1,2,0,197,0.304
472,solo_traveler,Junior Suite,summer,weekday,7,7,6,3,0,76,0.521
273,solo_traveler,Executive Suite,spring,weekday,3,6,6,3,1,305,0.494
657,business_traveler,Standard Room,spring,weekday,3,4,6,3,0,109,0.428
484,family_vacation,Business Room,fall,weekday,90,3,8,3,0,122,0.384
588,family_vacation,Family Suite,spring,weekend,30,6,6,3,1,151,0.477
761,solo_traveler,Junior Suite,winter,weekday,14,1,8,2,0,34,0.33
473,business_traveler,Executive Suite,summer,weekday,60,1,6,4,1,213,0.778
178,budget_conscious,Standard Room,spring,weekday,60,1,4,2,0,237,0.255
495,budget_conscious,Executive Suite,fall,weekend,60,3,4,2,0,180,0.35
527,family_vacation,Presidential Suite,summer,weekday,30,2,7,4,1,267,0.749
92,solo_traveler,Executive Suite,summer,weekend,90,2,7,3,1,156,0.497
7,budget_conscious,Junior Suite,fall,weekend,3,2,8,3,1,180,0.439
949,business_traveler,Executive Suite,spring,weekend,1,7,4,3,1,279,0.545
262,couple_romantic,Junior Suite,winter,weekend,3,3,5,3,0,107,0.493
485,couple_romantic,Business Room,winter,weekend,60,2,7,3,1,38,0.416
866,couple_romantic,Family Suite,summer,weekend,14,1,1,3,1,142,0.457
123,luxury_seeker,Executive Suite,winter,weekend,3,1,8,3,0,90,0.449
140,couple_romantic,Presidential Suite,summer,weekend,3,7,7,4,1,254,0.709
671,budget_conscious,Presidential Suite,summer,weekday,60,3,1,3,0,57,0.601
281,family_vacation,Family Suite,summer,weekday,90,1,3,3,0,55,0.525
501,business_traveler,Executive Suite,fall,weekend,3,2,8,3,1,198,0.551
637,budget_conscious,Standard Room,winter,weekday,90,7,2,2,1,320,0.295
728,business_traveler,Deluxe Room,winter,weekday,3,5,1,3,0,117,0.537
12,couple_romantic,Standard Room,fall,weekday,14,5,5,2,0,253,0.245
423,luxury_seeker,Deluxe Room,fall,weekday,14,7,6,2,0,188,0.365
165,budget_conscious,Presidential Suite,summer,weekend,60,6,8,4,1,160,0.671
